developer,publisher,price,release_year
Technomancy Studios,,Free,2016
Ubisoft - San Francisco,,2.99,2016
Ubisoft - San Francisco,,11.99,2016
Ubisoft - San Francisco,,2.99,2016
Ankama Studio,,64.99,2016
Ubisoft - San Francisco,,2.99,2016
Ubisoft - San Francisco,,2.99,2016
Ubisoft - San Francisco,,2.99,2016
Burst,Interplay Entertainment Corp.,9.99,2016
"SmiteWorks USA, LLC",,5.99,2016
"SmiteWorks USA, LLC",,5.99,2016
"Sean Han Tani,Joni Kittaka",Analgesic Productions,14.99,2016
Sean Han Tani,,6.99,2016
Ronimo Games,,7.99,2016
Corey Hardman,Corey Hardman,3.99,2016
Ronimo Games,,3.49,2016
Monster Games,Dusenberry Martin Racing,0.99,2016
Monster Games,Dusenberry Martin Racing,0.99,2016
Monster Games,Dusenberry Martin Racing,Free,2016
Monster Games,Dusenberry Martin Racing,4.99,2016
Monster Games,Dusenberry Martin Racing,4.99,2016
Monster Games,Dusenberry Martin Racing,Free,2016
Knuckle Cracker,Knuckle Cracker,4.99,2016
Monster Games,Dusenberry Martin Racing,Free,2016
Monster Games,Dusenberry Martin Racing,4.99,2016
Knuckle Cracker,Knuckle Cracker,4.99,2016
MAGES. Inc.,Degica,5.99,2016
Selva Interactive,Selva Interactive,2.99,2016
Waynetron,Waynetron,1.99,2016
Lightmare Studios,,49.99,2016
Thomson Interactive,Dovetail Games - Trains,19.99,2016
Shaman Games Studio,Shaman Games Studio,6.99,2016
Delusional Games,Back To Basics Gaming,1.99,2016
Free Lives,Devolver Digital,4.99,2016
Carl Burton,Carlburton Llc,4.99,2016
Titan Squad,Plug In Digital,2.99,2016
FantaBlade Network,X.D. Network Inc.,10.99,2016
magnussoft,magnussoft,12.99,2016
Frank Lucas,Metagaming B.V.,Free,2016
Snail-Ninja Studio,Snail-Ninja Studio,2.99,2016
Tripwire Interactive,Tripwire Interactive,29.99,2016
DL Softworks,KISS ltd,3.99,2016
Stonehill Games,UniqueGames,7.99,2016
DL Softworks,KISS ltd,2.99,2016
Magic Pixel Kft.,,2.99,2016
13AM Games,13AM Games,14.99,2016
13AM Games,13AM Games,6.99,2016
13AM Games,13AM Games,6.99,2016
13AM Games,13AM Games,13.99,2016
Orneon,Big Fish Games,9.99,2016
CarVin Interactive,CarVin Interactive,14.99,2016
Triple-Star Studio,Rock Path Collective,1.99,2016
ERS G Studios,Big Fish Games,9.99,2016
Dire Wolf Digital,Dire Wolf Digital,Free,2016
Tall Story Studios,Tall Story Studios,6.99,2016
Caravel Games,Caravel Games,14.99,2014
"DrinkingNails, LLC,PurpleFreezer","DrinkingNails, LLC",4.99,2016
Caravel Games,Caravel Games,4.99,2016
"Infovine co.,Ltd.","Infovine co.,Ltd.",,2016
Ripknot Systems,Ripknot Systems,4.99,2016
"Space Fractal,TempleTiger",OtakuMaker SARL,0.99,2016
LS Ensemble,LS Ensemble,19.99,2016
Allied Games Inc.,Allied Games Inc.,2.99,2016
Happy Pony Land,Happy Pony Land,6.99,2016
Massive Entertainment,Ubisoft,14.99,2016
Ubisoft - San Francisco,,2.99,2016
Musopia,,7.99,2016
West Forest Games,West Forest Games,2.99,2016
Panoramik Inc,,9.99,2016
DL Softworks,KISS ltd,1.99,2016
Indie Games Studio,Indie Games Studio,2.99,2016
Matrix Trains,Dovetail Games,4.99,2016
Matrix Trains,Dovetail Games,4.99,2016
Matrix Trains,Dovetail Games,4.99,2016
"Trion Worlds, Inc.","Trion Worlds, Inc.",99.99,2016
Kunos Simulazioni,,6.99,2016
Ubisoft - San Francisco,,7.99,2016
Ubisoft - San Francisco,,2.99,2016
Ubisoft - San Francisco,,2.99,2016
"Firaxis,Feral Interactive (Mac and Linux)","2k, Feral Interactive (Mac and Linux)",4.99,2016
Hangar 13,2k,4.99,2016
Synapse Games,Kongregate,9.99,2016
Synapse Games,Kongregate,29.99,2016
Synapse Games,Kongregate,19.99,2016
Navel,YumeHaven,19.99,2016
code:jp,Sekai Project,9.99,2016
Gato Salvaje S.L.,Gato Salvaje S.L.,4.99,2016
Delusional Games,Back To Basics Gaming,0.99,2016
Chadrick Evans,OMAG,14.99,2016
"ZiMAD, Inc.",,9.99,2016
Kool2Play,Kool2Play,0.99,2016
Steel Studio,Steel Studio,4.99,2016
"CFK Co., Ltd.","CFK Co., Ltd.",3.99,2016
Beckoning Cat,Simon Says: Play!,3.99,2014
Evil Twin Artworks,,2.99,2016
Evil Twin Artworks,,2.99,2016
VooFoo Studios,Ripstone,1.99,2016
SleepAllDays Studio,Indienova,0.99,2016
SleepAllDays Studio,Indienova,1.99,2016
Alternative Software Ltd,Alternative Software Ltd,39.99,2016
WolfTech Games,WolfTech Games,4.99,2016
Dragom,Dragom,12.99,2016
Immersed Games,Immersed Games,24.99,2016
Pilgrim Adventures,Red Dahlia,1.99,2016
Marmoset LLC,Marmoset LLC,189.0,2016
"Atom Switch, Inc.","Atom Switch, Inc.",9.99,2016
CyberLink,"Koch Media , CyberLink",69.99,2016
Ubisoft,Ubisoft,59.99,2016
Ubisoft,Ubisoft,6.99,2016
14Dimension Enterprise,14Dimension Enterprise,4.99,2016
White Rabbit Games,White Rabbit Games,0.99,2016
Anawiki Games,Anawiki Games,9.99,2016
Mauro Vos,Paradox Interactive,4.99,2016
Colossal Order Ltd.,Paradox Interactive,14.99,2016
AHA Entertainment,GAMESinFLAMES,Free,2016
Ivory Tower in collaboration with Ubisoft Reflections,,24.99,2016
VIS - Visual Imagination Software,United Independent Entertainment GmbH,9.99,2016
Matrix Trains,Dovetail Games,4.99,2016
Space Monkey International,Shaman Games Studio,6.99,2016
Lotte|EoD,Agger Interactive,4.99,2017
HandyGames,Headup Games,11.99,2016
Zordix AB,Zordix AB,29.99,2016
SketchTech,SketchTech,3.99,2016
Caravel Games,Caravel Games,4.99,2016
Sean O'Connor,Sean O'Connor,9.99,2016
DL Softworks,KISS ltd,1.99,2016
"SmiteWorks USA, LLC",,3.99,2016
"SmiteWorks USA, LLC",,16.99,2016
"SmiteWorks USA, LLC",,2.99,2016
BlackSpot Entertainment,BlackSpot Entertainment,14.99,2016
"SmiteWorks USA, LLC",,2.99,2016
Pixbits,Pixbits,14.99,2016
Team 4U,Team 4U,4.99,2016
Tabletopia Inc.,Tabletopia Inc.,Free,2016
Four Winged Studio,Four Winged Studio,2.99,2016
Daniel Jonathan Bourke,Project Tranquil,1.99,2016
Darius Bode,,9.99,2016
John Wizard,John Wizard,0.99,2016
"James Montgomery,Daniel Paez,Jeff Jackman,Lance Montgomery,Michael Nova",Counter_Agents_Team,Free,2016
KING Art,"THQ Nordic, EuroVideo Medien",39.99,2016
10tons Ltd,10tons Ltd,7.99,2014
Dragon's Games,Dragon's Games,5.99,2016
HeroCraft,HeroCraft,2.99,2016
"Ubisoft Annecy,Ubisoft Montpellier,Ubisoft Kiev",Ubisoft,29.99,2016
Musopia,,4.99,2016
Grey Dog Software,Viva Media,19.99,2016
"Lamina Studios,Mike Studios",Black Shell Media,12.99,2016
"Lamina Studios,Mike Studios",Black Shell Media,2.99,2016
RobProductions,RobProductions,5.99,2016
Musopia,,7.99,2016
Elf Games Works,Mangatar Games,7.99,2016
Christian Vandagrift,Skypeak LLC,1.99,2016
ERS Game Studios,Big Fish Games,9.99,2016
Giant Goblin Studio,Giant Goblin Studio,1.99,2016
Reborn Games Inc.,Reborn Games Inc.,9.99,2016
"Vyacheslav Ozolnieks,Andrey Omelchenko,Andrey Kashin",Vyacheslav Ozolnieks,4.99,2016
Fazan,Fazan,14.99,2016
The Revills Games,Big Fish Games,6.99,2016
"Spiff Tune,Nickervision Studios",Nickervision Studios,Free,2016
Caravel Games,Caravel Games,4.99,2016
Giant Fox,K Bros Games,0.99,2016
Miria Studios,Miria Studios,Free,2016
Invi Games,Ipsilon Developments,Free,2016
Invi Games,Ipsilon Developments,2.99,2016
BlackMark Studio,,4.99,2016
Dreadbit,Dreadbit,2.99,2016
Playsaurus,Playsaurus,9.99,2016
"SNK CORPORATION,DotEmu",SNK CORPORATION,9.99,2016
Jugilus,Jugilus,29.99,2016
Milestone S.r.l.,Milestone S.r.l.,5.99,2016
Musopia,,4.99,2016
Billy Goat Entertainment Ltd,Billy Goat Entertainment Ltd,11.99,2016
Matrix Trains,Dovetail Games,4.99,2016
Contours,Contours,39.99,2016
Matrix Trains,Dovetail Games,4.99,2016
Bossman Games,Dovetail Games,4.99,2016
Other Ocean Interactive,"Konami Digital Entertainment, Inc.",4.99,2016
Other Ocean Interactive,"Konami Digital Entertainment, Inc.",4.99,2016
Other Ocean Interactive,"Konami Digital Entertainment, Inc.",4.99,2016
Other Ocean Interactive,"Konami Digital Entertainment, Inc.",4.99,2016
PlayFortress,PlayFortress,19.99,2016
Other Ocean Interactive,"Konami Digital Entertainment, Inc.",4.99,2016
Caravel Games,Caravel Games,4.99,2016
Virtavia,Dovetail Games - Flight,9.99,2016
"Psyonix, Inc.","Psyonix, Inc.",1.99,2016
One Wheel Studio,One Wheel Studio,4.99,2016
SunRay Games,SunRay Games,6.99,2016
EastFog Studios,EastFog Studios,6.99,2016
ThinkOfGames,ThinkOfGames,2.99,2016
BARCHboi,BARCHboi,9.99,2016
"SmiteWorks USA, LLC",,5.99,2016
"SmiteWorks USA, LLC",,4.99,2016
"SmiteWorks USA, LLC",,16.99,2016
"SmiteWorks USA, LLC",,4.99,2016
"SmiteWorks USA, LLC",,2.99,2016
"SmiteWorks USA, LLC",,2.99,2016
"SmiteWorks USA, LLC",,2.99,2016
"SmiteWorks USA, LLC",,7.99,2016
"SmiteWorks USA, LLC",,15.99,2016
Peter Whalen,Peter Whalen,9.99,2014
Studio SiestA,,3.99,2016
Studio SiestA,"Rocket-Engine Co.,Ltd.",3.99,2016
"Lump of Sugar,HIKARI FIELD",HIKARI FIELD,29.99,2016
USAmsterdamn,USAmsterdamn,3.99,2016
Kobra Studio,Kobra Studio,1.99,2016
nobodyshot,,0.99,2016
Thylacine Studios,Thylacine Studios,4.99,2016
Thylacine Studios,Thylacine Studios,9.99,2016
Thylacine Studios,Thylacine Studios,Free,2016
"ImaginationOverflow,Twin Ravens Audio",ImaginationOverflow,4.99,2016
studio wasp,studio wasp,Free,2015
"xropi,stev3ns",SIXNAILS,4.99,2016
Egor Magurin,Indovers Studio,1.99,2016
"Nova Ideals,Alawar Entertainment",Buka Entertainment,5.99,2016
Brightrock Games,Brightrock Games,Free,2016
"Adept Studios GD,Alawar Entertainment",Buka Entertainment,6.99,2016
"Silver Moon Internet,银月网络","Silver Moon Internet, 银月网络",9.99,2016
AppGeneration,AppGeneration,3.99,2016
DL Softworks,KISS ltd,2.99,2016
Just1337 Studio,Just1337 Publisher,1.99,2016
DL Softworks,KISS ltd,2.99,2016
Musopia,,4.99,2016
"Far East War Development Team,Relic",,Free,2016
Insane Mind Games,,2.99,2016
DL Softworks,KISS ltd,7.99,2016
Heisenberg Entertainment,Heisenberg Entertainment,0.99,2016
Quiet River,Quiet River,Free,2016
GSC Game World,GSC Game World,3.99,2016
mesetts,New Reality Games,3.99,2016
Bekho Team,,4.99,2016
PIXYUL,PIXYUL,14.99,2016
Bekho Team,Bekho Team,6.99,2016
Netmin Games,Libredia,8.99,2016
Color Brush Studio,RunServer,6.99,2016
StudioQi,StudioQi,Free,2016
Mostly Tigerproof,Adult Swim Games,19.99,2016
Gestmorph Games,Gestmorph Games,Free,2016
Glenn Main,Glenn Main,0.99,2016
Ubisoft - San Francisco,,2.99,2016
Ubisoft - San Francisco,,7.99,2016
Ubisoft - San Francisco,,2.99,2016
Ubisoft - San Francisco,,2.99,2016
GameHouse,GameHouse,12.99,2016
Milestone S.r.l.,Milestone S.r.l.,3.99,2016
Kevin Nitschmann/Darius Bode,,34.99,2016
Fatshark,Fatshark,8.99,2016
Indie Dynamics,Indie Dynamics,1.99,2016
Gamemag,IDC/Games,Free,2016
Aerosoft GmbH,Dovetail Games - Flight,14.99,2016
Paradox Development Studio,Paradox Interactive,14.99,2016
Dynamix,Activison,5.99,1997
Kiz Studios,Kiz Studios,Free,2016
PoRovoz Studios,PoRovoz Studios,6.99,2016
Insane Mind Games,,Free,2016
Aatlantis Code,Aatlantis Code,14.99,2016
"Maxwolf,Fox","Maxwolf, Fox",4.99,2016
Crystal Shard,Crystal Shard,5.99,2016
OVERKILL - a Starbreeze Studio.,,,2016
Zachtronics,Zachtronics,2.99,2016
OVERKILL - a Starbreeze Studio.,,,2016
CubeInSquare,CubeInSquare,1.99,2016
"System Era Softworks,Machinefabriek",System Era Softworks,5.99,2016
Petroglyph,Petroglyph,14.99,2016
"SmiteWorks USA, LLC",,2.99,2016
"SmiteWorks USA, LLC",,2.99,2016
"SmiteWorks USA, LLC",,2.99,2016
"SmiteWorks USA, LLC",,2.99,2016
MysteryTag,RunServer,7.99,2016
Finish Line Games,Finish Line Games,4.99,2016
BEta - indie,Atriagames,2.99,2016
baKno Games,baKno Games,4.99,2009
Vladimir Maslov,Vladimir Maslov,4.99,2016
MokyuSoft,Culture Select,11.99,2016
StormCube Games,StormCube Games,11.99,2016
Drizzly Bear,,4.99,2016
Triple-Star Studio,Rock Path Collective,1.99,2016
Furion Studios,Furion Studios,6.99,2016
"Just1337 Studio,Crohack",Just1337 Publisher,0.99,2016
Mihai Morosanu,Mihai Morosanu,0.99,2016
Skatanic Studios,GSProductions Ltd.,Free,2016
Sebastien Bini,Degica,3.99,2016
"Playdek, Inc.",Asmodee Digital,4.99,2016
"Maxwolf,Fox","Maxwolf, Fox",0.99,2016
NCH Software,NCH Software,99.99,2016
Starwind Games,Starwind Games,2.99,2016
dynamicsoulworks,OtakuMaker.com,4.99,2016
BT Studios,BT Studios,2.99,2016
ATTACK MOUNTAIN,ATTACK MOUNTAIN,0.99,2016
ATTACK MOUNTAIN,ATTACK MOUNTAIN,6.99,2016
Massive Entertainment,,6.99,2016
Ubisoft,,4.99,2016
Ubisoft,,2.99,2016
Ubisoft - San Francisco,,2.99,2016
Ubisoft - San Francisco,,11.99,2016
Ubisoft - San Francisco,,2.99,2016
Ubisoft - San Francisco,,2.99,2016
Game Studio Abraham Stolk Inc.,Game Studio Abraham Stolk Inc.,Free,2016
Ubisoft - San Francisco,,2.99,2016
"QLOC,DIMPS",BANDAI NAMCO Entertainment,7.99,2016
Ubisoft - San Francisco,,2.99,2016
"SmiteWorks USA, LLC",,4.99,2016
"SmiteWorks USA, LLC",,4.99,2016
"SmiteWorks USA, LLC",,4.99,2016
Haze Games,,,2016
2B_GAMES,2B_GAMES,1.99,2016
Milestone S.r.l.,,Free,2016
Shindenken,Hanaji Games,7.99,2016
Aerosoft GmbH,Dovetail Games - Flight,14.99,2016
Mysia Games,Mysia Games,6.99,2016
Toposim,Dovetail Games - Flight,14.99,2016
Toposim,Dovetail Games - Flight,14.99,2016
Aerosoft GmbH,Dovetail Games - Flight,14.99,2016
Fernando Cordoba,,Free,2016
D.E.X. Team,Xitilon,6.66,2016
"Jetdogs Studios,Zoom Out Games",Jetdogs Studios,2.99,2016
Game Science,Game Science,Free,2016
BrashMonkey,,12.99,2016
Oryzhon Studios,Oryzhon Studios,1.99,2016
Creobit,8Floor,4.99,2016
M. Hanka,Liu Lidan,1.99,2016
Steven Colling,Steven Colling,,1900
SVRVIVE Studios,SVRVIVE Studios,Free,2016
"SmiteWorks USA, LLC",,27.99,2016
Skelefactor,,4.99,2016
Orange_Juice,Fruitbat Factory,1.99,2016
Starodymov,OtakuMaker SARL,3.99,2016
Immersed Games,Immersed Games,3.99,2016
"FarSight Studios, Inc.","FarSight Studios, Inc.",Free,2016
Moonradish Inc.,,2.99,2016
Rendercode Games,Rendercode Games,1.99,2016
AbsQual Studio,AbsQual Studio,0.99,2016
Reiza Studios,,5.99,2016
"FarSight Studios, Inc.",,9.99,2016
"FarSight Studios, Inc.",,Free,2016
Magnolia Art,Magnolia Art,0.99,2016
Mihai Morosanu,Mihai Morosanu,0.99,2016
Kormishenkov Anton,Kormishenkov Anton,1.99,2016
Waygetter Electronics,"Little Flag Software, LLC",4.99,2016
Jose Pedro Díaz,Jose Pedro Díaz,0.99,2016
"wins_84,gamebalance",wins_84,2.99,2016
Just1337 Studio,Just1337 Publisher,2.99,2016
Flatbox Studios,,9.99,2016
Flatbox Studios,,14.99,2016
"Tingly, LLC","Tingly, LLC",3.99,2016
"Adam McLellan,Ricardo Chirino",Adam McLellan,5.99,2016
salamandra88,7DOTS,2.99,2016
CrabWay,CrabWay,2.99,2016
James C. Gray,James C. Gray,2.99,2016
Eternal Night Studios,"Alberto Herrera, Ziel Graywords, Stw projects",Free,2016
nlfastudio,nlfastudio,0.99,2016
"The Crimson Nights Team,Spiky Fish Games",The Crimson Nights Team,9.99,2017
Blue Giraffe,GameHouse,12.99,2017
SolarLance,SolarLance,3.99,2017
"SmiteWorks USA, LLC",,4.99,2017
"SmiteWorks USA, LLC",,19.99,2017
"SmiteWorks USA, LLC",,4.99,2017
Nickana Studio,Nickana Studio,3.99,2017
"SmiteWorks USA, LLC",,4.99,2017
"Nicalis, Inc.,Edmund McMillen","Nicalis, Inc.",,2017
TERNOX,TERNOX,Free,2017
gearspecs,gearspecs,1.99,2017
Manic Mind Game Lab,Manic Mind Game Lab,0.99,2017
VGstudio,VGstudio,1.99,2017
VGstudio,VGstudio,4.99,2017
Keen Software House,,9.99,2016
Belarus Games,BadDoge,0.99,2017
Mattis Folkestad,machineboy,5.99,2017
"KADOKAWA,Degica,Yoji Ojima",,9.99,2017
Paul O'Bar,ArcadeSheep,3.99,2016
"David Nguyen,David Chang",OtakuMaker,0.99,2017
Windward_Birds,Windward_Birds,3.99,2017
MetamorphoGames,Atriagames,1.99,2017
Super Games Studio,Super Games Studio,3.99,2016
Falcoware,Atriagames,0.99,2017
"Stenner Studios,Killbox Graphics",Ultrashock Gaming,0.99,2017
SinksAdventure,SinksAdventure,,2017
Kyuppin,Kyuppin,2.99,2017
Taste Games,Taste Games,4.99,2017
King Crow Studios,King Crow Studios,7.99,2017
Noble Empire Corp.,,9.99,2017
RPG Video,Back To Basics Gaming,0.99,2017
Snowrunner Games,,Free,2017
David Kilmer,Deuteranopia,1.99,2017
Winter Wolves,Winter Wolves,14.99,2017
Winter Wolves,,4.99,2017
Oddrok,Oddrok,4.99,2017
Tree Men Games,Tree Men Games,4.99,2017
DL Softworks,KISS ltd,6.99,2017
DL Softworks,KISS ltd,6.99,2017
DL Softworks,KISS ltd,6.99,2017
Desert Fox,PlayWay S.A.,8.99,2017
Renegade Sector Games,Renegade Sector Games,14.99,2017
Flynns Arcade,Back To Basics Gaming,4.99,2017
Illyriad Games,Illyriad Games,4.99,2011
QUByte Interactive,QUByte Interactive,3.99,2016
Bowlcut Studios,Bowlcut Studios,9.99,2017
Boolat Entertainment,Big Fish Games,9.99,2017
Fever Pitch Studios,"Descendent Studios, Fever Pitch Studios",5.99,2001
InvertMouse,InvertMouse,6.99,2017
InvertMouse,InvertMouse,2.99,2017
InvertMouse,InvertMouse,2.99,2017
Super Mega Team,Adult Swim Games,14.99,2017
VIS - Visual Imagination Software,United Independent Entertainment GmbH,6.99,2017
Sad Spaghetti Entertainment,Sad Spaghetti Entertainment,4.99,2017
The Paper Robot,Clickteam,7.99,2017
"SmiteWorks USA, LLC",,4.99,2017
"SmiteWorks USA, LLC",,4.99,2017
"SmiteWorks USA, LLC",,4.99,2017
Renxiang Game,Renxiang Game,7.99,2017
Fishing Planet LLC,,69.99,2017
Fishing Planet LLC,,49.99,2017
Corrosive Studios LLC,Corrosive Studios LLC,2.99,2017
Fishing Planet LLC,,19.99,2017
Fishing Planet LLC,Fishing Planet LLC,59.99,2017
Fishing Planet LLC,Fishing Planet LLC,39.99,2017
Crazyant,Crazyant,9.99,2017
Peace,Peace,1.99,2017
Teamomega,Teamomega,4.99,2017
Falcoware,Dark Light Studio,0.99,2017
Boolat Games,Big Fish Games,9.99,2017
Ubisoft - San Francisco,,2.99,2017
Ubisoft - San Francisco,,2.99,2017
Ogulcan Karaoglu,Ogulcan Karaoglu,0.99,2017
Jetdogs Studios,Jetdogs Studios,1.99,2017
MoaCube,MoaCube,9.99,2007
SlyGames,SlyGames,0.99,2017
Joure Visser,Joure Visser,14.99,2017
Milestone S.r.l.,Milestone S.r.l.,Free,2017
Anawiki Games,Anawiki Games,9.99,2017
"Nova Dimension,Recreat4",Nova Dimension,4.99,2017
Jonni Hirst,Jonni Hirst,1.99,2017
"Umix Studios,Cyanide",Cyanide,19.99,2017
HexWar Games,HexWar Games,19.99,2017
Digital Reality,THQ Nordic,4.99,1997
"Digital Reality,Gyroscope Games",THQ Nordic,9.99,1999
Flying Helmet Games,,6.99,2017
"Lunchtime Studios, LLC","Lunchtime Studios, LLC",4.99,2017
Anatoliy Loginovskikh,Sometimes You,2.99,2017
Ashdar Games,Iceberg Interactive,24.99,2017
Moonrise Interactive,Artifex Mundi,9.99,2017
Nolo,Individual Software,54.99,2016
Eclipse Studios,501 Industries,2.99,2017
One More Game,One More Game,1.99,2017
Broken Code Games,Broken Code Games,2.99,2017
Warfare Studios,Warfare Studios,7.99,2017
Ascension Interactive Media,Ascension Interactive Media,2.99,2017
Black Alchemy Games,Black Alchemy Games,4.99,2017
Team Toaster,Team Toaster,9.99,2017
ButterChain,ButterChain,4.99,2017
Black Alchemy Games,,0.99,2017
Mihai Morosanu,Mihai Morosanu,0.99,2017
NIKITA ONLINE,NIKITA ONLINE,2.99,1997
Musopia,,4.99,2017
"SmiteWorks USA, LLC",,4.99,2017
"SmiteWorks USA, LLC",,9.99,2017
Kirill Gurman,NedoStudio,0.99,2017
Carl Games,Carl Games,2.99,2017
Justin Varghese,Justin Varghese,0.99,2016
Eendhoorn Games,Eendhoorn Games,7.99,2017
Synnergy Circle Games,Synnergy Circle Games,0.99,2017
Gobbo Games,Gobbo Games,7.99,2017
"CAPCOM Co., Ltd.","CAPCOM Co., Ltd.",29.99,2017
"CAPCOM Co., Ltd.",,9.99,2017
Chun Y.,,0.99,2017
CyberLink,"Koch Media , CyberLink",129.99,2017
Big Fish Studios,Big Fish Games,6.99,2017
VooFoo Studios,Ripstone,1.99,2017
Brace Yourself Games,,1.99,2017
CyberLink,"Koch Media , CyberLink",129.99,2017
Trilith Entertainment Ltd,European Games Group AG,Free,2017
Brace Yourself Games,,1.99,2017
Brace Yourself Games,,3.99,2017
Brace Yourself Games,,2.99,2017
Brace Yourself Games,Brace Yourself Games,6.99,2017
Eidos Montreal,Square Enix,Free,2017
Ubisoft,Ubisoft,6.99,2017
Ubisoft - San Francisco,,2.99,2017
Ubisoft - San Francisco,,9.99,2017
Ubisoft - San Francisco,,2.99,2017
Ubisoft - San Francisco,,2.99,2017
Ubisoft - San Francisco,,2.99,2017
Spydersoft,Angry Skull Studios,4.99,2017
Frontwing,Frontwing USA,12.99,2017
Ivanovich Games,Ivanovich Games,9.99,2015
"ThinkOfGames,The Storytelling Studio",ThinkOfGames,3.99,2017
نقش الضوء,نقش الضوء,2.99,2017
Nuclear Tales,Nuclear Tales,,1900
WeirdBeard,,0.99,2017
stillalive studios,astragon Entertainment GmbH,5.99,2017
Bit Byterz,Digital Dragon,14.99,2017
Vendel Games,Big Fish Games,9.99,2017
IndieMax,IndieMax,4.99,2017
Mike Studios,Spaceboy Games,4.99,2017
Ripstone,Ripstone,2.99,2017
N-Fusion Interactive,Retroism,9.99,2001
Hyper Hippo Games,Hyper Hippo Games,Free,2017
SparkLightGames,SparkLightGames,4.99,2017
White Dog,,1.99,2017
BANDAI NAMCO Studios Inc.,BANDAI NAMCO Entertainment,19.99,2017
BANDAI NAMCO Studios Inc.,BANDAI NAMCO Entertainment,Free,2017
BANDAI NAMCO Studios Inc.,BANDAI NAMCO Entertainment,9.99,2017
Little Cat Feet,,5.99,2017
Xuse,JAST USA,29.99,2017
Xuse,JAST USA,14.99,2017
"Expansive Worlds,Avalanche Studios",,14.99,2017
"Expansive Worlds,Avalanche Studios",,19.99,2017
"Expansive Worlds,Avalanche Studios",,24.99,2017
Forever Entertainment S. A.,Forever Entertainment S. A.,Free,2017
Mortis Games,Rock Path Collective,0.99,2017
Warped Tales,Warped Tales,Free,2017
Matrix Trains,Dovetail Games,4.99,2017
Matrix Trains,Dovetail Games,4.99,2017
Capsule Three,Capsule Three,10.99,2017
"Haven Made,craigz",Haven Made,9.99,2017
Maple Flag,"The Fighter Collection, Eagle Dynamics SA",9.99,2017
ANIM•ACE,ANIM•ACE,3.99,2017
"SmiteWorks USA, LLC",,3.99,2017
"SmiteWorks USA, LLC",,4.99,2017
"SmiteWorks USA, LLC",,0.99,2017
Domini Games,Big Fish Games,9.99,2017
SG Data,RedFox Games,Free,2017
"SmiteWorks USA, LLC",,4.99,2017
"SmiteWorks USA, LLC",,6.99,2017
Vladimir Maslov,Vladimir Maslov,1.99,2017
Indie Games Studio,Indie Games Studio,0.99,2017
Mind Grown Software,Mind Grown Software,14.99,2017
Bakershah Games,,4.99,2017
Joshua Missile,Joshua Missile,4.99,2017
Romero Games Ltd.,Romero Games Ltd.,4.99,2017
I3,I3,Free,2017
Walter Machado,Walter Machado,0.99,2017
WorldWideSoftware,KEMCO,9.99,2017
Tower Up Studios,Tower Up Studios,3.99,2017
"Expansive Worlds,Avalanche Studios",,Free,2017
Just1337 Studio,Just1337 Publisher,0.99,2017
AT The Gate Team,AT The Gate Team,11.99,2017
Tower Up Studios,Tower Up Studios,0.99,2017
Narrator,Narrator,10.99,2016
virtualRailroads,Dovetail Games,4.99,2017
virtualRailroads,Dovetail Games,4.99,2017
Windybeard,Windybeard,8.99,2017
BANDAI NAMCO Studios Inc.,BANDAI NAMCO Entertainment,7.99,2017
Ubisoft - San Francisco,,2.99,2017
Ubisoft - San Francisco,,2.99,2017
Ubisoft - San Francisco,,2.99,2017
Ubisoft - San Francisco,,7.99,2017
"Io-Interactive A/S,Feral Interactive (Linux),Feral Interactive (Mac)","Io-Interactive A/S, Feral Interactive (Linux), Feral Interactive (Mac)",4.99,2017
Individual Software,Individual Software,19.99,2017
Midipixel,Whippering,9.99,2017
Happy Hobgoblin,Happy Hobgoblin,3.99,2017
Deceptive Games Ltd.,Deceptive Games Ltd.,5.99,2017
Black Tower Studios,"DMM.com Co., Ltd., POWERCHORD STUDIO",15.99,2017
Virtual Rail Creations,Dovetail Games - Trains,19.99,2017
"SmiteWorks USA, LLC",,4.99,2017
On5,On5,3.99,2017
"SmiteWorks USA, LLC",,4.99,2017
"SmiteWorks USA, LLC",,6.99,2017
"SmiteWorks USA, LLC",,19.99,2017
"SmiteWorks USA, LLC",,4.99,2017
"SmiteWorks USA, LLC",,7.99,2017
"SmiteWorks USA, LLC",,14.99,2017
Evgeny Osmet,Maximus.ez,0.99,2017
Olivier LeClair,Olivier LeClair,4.99,2017
Olivier LeClair,,1.99,2017
Olivier LeClair,Olivier LeClair,0.99,2017
Olivier LeClair,Olivier LeClair,14.99,2017
Olivier LeClair,Olivier LeClair,9.99,2017
Olivier LeClair,Olivier LeClair,Free,2017
Loju,Loju,3.99,2017
CyberConnect2 Co. Ltd.,BANDAI NAMCO Entertainment,19.99,2017
Nuno Donato,Nuno Donato,3.99,2017
nukeygara,nukeygara,179.0,2017
HeR Interactive,HeR Interactive,19.99,2015
651 GAMES,651 GAMES,4.99,2017
nullplussoftware,nullplussoftware,4.99,2016
Bakershah Games,Bakershah Games,4.99,2017
Stonehill Games,UniqueGames,7.99,2017
"[erka:es],Darksquid Media",AGM PLAYISM,9.99,2017
DL Softworks,KISS ltd,6.99,2017
DL Softworks,KISS ltd,5.99,2017
Cat Nigiri,Cat Nigiri,,1900
Giant Squid,505 Games,4.99,2017
Pixel Trickery,Pixel Trickery,10.99,2017
Eipix Entertainment,Big Fish Games,9.99,2017
Pixel Trickery,,6.99,2017
Square Enix,Square Enix,Free,2017
